ds,y,open,high,low,vol.,change %,lag1_y,lag1_open,lag1_vol,lag1_change_pct,lag2_y,lag2_open,lag2_vol,lag2_change_pct,lag3_y,lag3_open,lag3_vol,lag3_change_pct,lag4_y,lag4_open,lag4_vol,lag4_change_pct,lag5_y,lag5_open,lag5_vol,lag5_change_pct,lag6_y,lag6_open,lag6_vol,lag6_change_pct,lag7_y,lag7_open,lag7_vol,lag7_change_pct,SMA_7_days,EMA_7_days,SMA_1_month,EMA_1_month,SMA_3_months,EMA_3_months,SMA_6_months,EMA_6_months,EMA_1_day,SMA_1_day
2018-12-11,3407.7,3460.4,3485.9,3349.9,418530.0,-1.53,3460.5,3566.9,394490.0,-3.0,3567.5,3430.3,327930.0,4.0,3430.4,3422.3,424400.0,0.24,3422.2,3508.9,639330.0,-2.46,3508.6,3771.4,467540.0,-6.97,3771.6,3958.1,341600.0,-4.72,3958.5,3899.9,326710.0,1.56,3509.785714285714,3554.5259334000366,4440.4,4361.834065998301,5823.286666666667,5488.599663295609,6300.05,6237.106581072949,3407.7,3407.7
2018-12-12,3466.1,3390.2,3510.2,3379.4,391170.0,1.72,3407.7,3460.4,418530.0,-1.53,3460.5,3566.9,394490.0,-3.0,3567.5,3430.3,327930.0,4.0,3430.4,3422.3,424400.0,0.24,3422.2,3508.9,639330.0,-2.46,3508.6,3771.4,467540.0,-6.97,3771.6,3958.1,341600.0,-4.72,3466.1428571428573,3532.4194500500275,4341.4366666666665,4304.044771417766,5789.766666666666,5444.1491212451565,6283.693333333334,6206.487723823524,3466.1,3466.1
2018-12-13,3315.3,3466.2,3474.4,3284.8,435890.0,-4.35,3466.1,3390.2,391170.0,1.72,3407.7,3460.4,418530.0,-1.53,3460.5,3566.9,394490.0,-3.0,3567.5,3430.3,327930.0,4.0,3430.4,3422.3,424400.0,0.24,3422.2,3508.9,639330.0,-2.46,3508.6,3771.4,467540.0,-6.97,3438.5285714285715,3478.1395875375206,4237.64,4240.254786165007,5754.562222222222,5397.361228470538,6265.968333333332,6174.540898145916,3315.3,3315.3
2018-12-14,3247.8,3315.4,3336.6,3199.1,445560.0,-2.04,3315.3,3466.2,435890.0,-4.35,3466.1,3390.2,391170.0,1.72,3407.7,3460.4,418530.0,-1.53,3460.5,3566.9,394490.0,-3.0,3567.5,3430.3,327930.0,4.0,3430.4,3422.3,424400.0,0.24,3422.2,3508.9,639330.0,-2.46,3413.6142857142854,3420.5546906531404,4151.153333333333,4176.225445122104,5718.2155555555555,5350.118124548108,6248.1211111111115,6142.2012197133645,3247.8,3247.8
2018-12-15,3228.7,3247.8,3282.3,3177.0,332950.0,-0.59,3247.8,3315.4,445560.0,-2.04,3315.3,3466.2,435890.0,-4.35,3466.1,3390.2,391170.0,1.72,3407.7,3460.4,418530.0,-1.53,3460.5,3566.9,394490.0,-3.0,3567.5,3430.3,327930.0,4.0,3430.4,3422.3,424400.0,0.24,3384.8,3372.591017989855,4068.1466666666665,4115.094771243259,5681.865555555555,5303.493550382216,6228.726111111111,6110.007836070123,3228.7,3228.7
2018-12-16,3247.9,3228.6,3305.0,3225.9,335690.0,0.6,3228.7,3247.8,332950.0,-0.59,3247.8,3315.4,445560.0,-2.04,3315.3,3466.2,435890.0,-4.35,3466.1,3390.2,391170.0,1.72,3407.7,3460.4,418530.0,-1.53,3460.5,3566.9,394490.0,-3.0,3567.5,3430.3,327930.0,4.0,3339.1428571428573,3341.4182634923914,3988.536666666667,4059.1467214856298,5648.487777777778,5258.315670154036,6209.256666666666,6078.382335119072,3247.9,3247.9
2018-12-17,3526.1,3248.3,3597.4,3243.1,534780.0,8.57,3247.9,3228.6,335690.0,0.6,3228.7,3247.8,332950.0,-0.59,3247.8,3315.4,445560.0,-2.04,3315.3,3466.2,435890.0,-4.35,3466.1,3390.2,391170.0,1.72,3407.7,3460.4,418530.0,-1.53,3460.5,3566.9,394490.0,-3.0,3348.514285714286,3387.5886976192933,3918.68,4024.756610422041,5617.2,5220.244996084716,6191.260555555555,6050.180320366376,3526.1,3526.1
2018-12-18,3668.0,3526.0,3683.1,3456.9,698530.0,4.02,3526.1,3248.3,534780.0,8.57,3247.9,3228.6,335690.0,0.6,3228.7,3247.8,332950.0,-0.59,3247.8,3315.4,445560.0,-2.04,3315.3,3466.2,435890.0,-4.35,3466.1,3390.2,391170.0,1.72,3407.7,3460.4,418530.0,-1.53,3385.7000000000003,3457.69152321447,3852.3366666666666,4001.7400549109416,5586.951111111111,5186.129721445492,6174.260555555555,6023.85788588719,3668.0,3668.0
2018-12-19,3687.1,3668.1,3924.7,3647.5,792400.0,0.52,3668.0,3526.0,698530.0,4.02,3526.1,3248.3,534780.0,8.57,3247.9,3228.6,335690.0,0.6,3228.7,3247.8,332950.0,-0.59,3247.8,3315.4,445560.0,-2.04,3315.3,3466.2,435890.0,-4.35,3466.1,3390.2,391170.0,1.72,3417.2714285714287,3515.0436424108525,3812.4466666666663,3981.4406965295907,5555.8166666666675,5153.184013281854,6161.101666666667,5998.037356761364,3687.1,3687.1
2018-12-20,4076.0,3687.2,4140.3,3665.8,958580.0,10.55,3687.1,3668.1,792400.0,0.52,3668.0,3526.0,698530.0,4.02,3526.1,3248.3,534780.0,8.57,3247.9,3228.6,335690.0,0.6,3228.7,3247.8,332950.0,-0.59,3247.8,3315.4,445560.0,-2.04,3315.3,3466.2,435890.0,-4.35,3525.942857142857,3655.2827318081395,3797.4933333333333,3987.5412967534885,5525.92,5129.509639363571,6149.483333333334,5976.799374918697,4076.0,4076.0
2018-12-21,3850.9,4075.2,4153.1,3786.9,748760.0,-5.52,4076.0,3687.2,958580.0,10.55,3687.1,3668.1,792400.0,0.52,3668.0,3526.0,698530.0,4.02,3526.1,3248.3,534780.0,8.57,3247.9,3228.6,335690.0,0.6,3228.7,3247.8,332950.0,-0.59,3247.8,3315.4,445560.0,-2.04,3612.1,3704.1870488561044,3771.233333333333,3978.7257292210056,5493.934444444444,5101.408328608328,6136.684999999999,5953.308774090867,3850.9,3850.9
2018-12-22,3964.4,3850.9,3977.2,3803.7,554590.0,2.95,3850.9,4075.2,748760.0,-5.52,4076.0,3687.2,958580.0,10.55,3687.1,3668.1,792400.0,0.52,3668.0,3526.0,698530.0,4.02,3526.1,3248.3,534780.0,8.57,3247.9,3228.6,335690.0,0.6,3228.7,3247.8,332950.0,-0.59,3717.2,3769.2402866420784,3758.1800000000003,3977.801488626102,5463.493333333334,5076.41913457298,6123.950555555556,5931.331881559476,3964.4,3964.4
2018-12-23,3944.4,3964.3,4037.1,3904.6,572210.0,-0.5,3964.4,3850.9,554590.0,2.95,3850.9,4075.2,748760.0,-5.52,4076.0,3687.2,958580.0,10.55,3687.1,3668.1,792400.0,0.52,3668.0,3526.0,698530.0,4.02,3526.1,3248.3,534780.0,8.57,3247.9,3228.6,335690.0,0.6,3816.7000000000003,3813.030214981559,3743.0599999999995,3975.6465538760312,5434.163333333334,5051.539593153793,6112.0744444444435,5909.376833144454,3944.4,3944.4
2018-12-24,4026.1,3944.5,4208.2,3941.9,716290.0,2.07,3944.4,3964.3,572210.0,-0.5,3964.4,3850.9,554590.0,2.95,3850.9,4075.2,748760.0,-5.52,4076.0,3687.2,958580.0,10.55,3687.1,3668.1,792400.0,0.52,3668.0,3526.0,698530.0,4.02,3526.1,3248.3,534780.0,8.57,3888.128571428571,3866.297661236169,3746.5833333333335,3978.9016149162876,5407.285555555556,5029.002459238325,6100.2477777777785,5888.567144380428,4026.1,4026.1
2018-12-25,3762.5,4025.6,4030.7,3676.5,670940.0,-6.55,4026.1,3944.5,716290.0,2.07,3944.4,3964.3,572210.0,-0.5,3964.4,3850.9,554590.0,2.95,3850.9,4075.2,748760.0,-5.52,4076.0,3687.2,958580.0,10.55,3687.1,3668.1,792400.0,0.52,3668.0,3526.0,698530.0,4.02,3901.628571428571,3840.3482459271268,3736.5933333333332,3964.9402204055596,5377.223333333333,5001.167240353966,6088.464444444445,5865.07468974639,3762.5,3762.5
2018-12-26,3793.7,3762.8,3841.9,3680.3,567110.0,0.83,3762.5,4025.6,670940.0,-6.55,4026.1,3944.5,716290.0,2.07,3944.4,3964.3,572210.0,-0.5,3964.4,3850.9,554590.0,2.95,3850.9,4075.2,748760.0,-5.52,4076.0,3687.2,958580.0,10.55,3687.1,3668.1,792400.0,0.52,3916.8571428571427,3828.686184445345,3735.15,3953.8924642503625,5345.051111111112,4974.629498807725,6075.022222222222,5842.186571627645,3793.7,3793.7
2018-12-27,3586.9,3793.4,3822.6,3560.8,543440.0,-5.45,3793.7,3762.8,567110.0,0.83,3762.5,4025.6,670940.0,-6.55,4026.1,3944.5,716290.0,2.07,3944.4,3964.3,572210.0,-0.5,3964.4,3850.9,554590.0,2.95,3850.9,4075.2,748760.0,-5.52,4076.0,3687.2,958580.0,10.55,3846.9857142857145,3768.2396383340088,3725.83,3930.21553107292,5311.172222222222,4944.129949383379,6059.4,5817.2662780185,3586.9,3586.9
2018-12-28,3861.6,3587.1,3900.3,3565.5,565240.0,7.66,3586.9,3793.4,543440.0,-5.45,3793.7,3762.8,567110.0,0.83,3762.5,4025.6,670940.0,-6.55,4026.1,3944.5,716290.0,2.07,3944.4,3964.3,572210.0,-0.5,3964.4,3850.9,554590.0,2.95,3850.9,4075.2,748760.0,-5.52,3848.5142857142855,3791.5797287505065,3712.3700000000003,3925.7887226166026,5280.702222222222,4920.3380823639645,6045.482222222223,5795.656705885699,3861.6,3861.6
2018-12-29,3706.8,3861.6,3899.6,3696.0,505410.0,-4.01,3861.6,3587.1,565240.0,7.66,3586.9,3793.4,543440.0,-5.45,3793.7,3762.8,567110.0,0.83,3762.5,4025.6,670940.0,-6.55,4026.1,3944.5,716290.0,2.07,3944.4,3964.3,572210.0,-0.5,3964.4,3850.9,554590.0,2.95,3811.714285714286,3770.38479656288,3692.7133333333336,3911.660417931661,5248.164444444445,4893.6669157186025,6029.3005555555565,5772.575416317902,3706.8,3706.8
2018-12-30,3815.0,3708.2,3837.7,3682.5,519169.99999999994,2.92,3706.8,3861.6,505410.0,-4.01,3861.6,3587.1,565240.0,7.66,3586.9,3793.4,543440.0,-5.45,3793.7,3762.8,567110.0,0.83,3762.5,4025.6,670940.0,-6.55,4026.1,3944.5,716290.0,2.07,3944.4,3964.3,572210.0,-0.5,3793.2285714285713,3781.53859742216,3685.2233333333334,3905.4242619360703,5217.128888888889,4869.959950537974,6014.30888888889,5750.944748734279,3815.0,3815.0
